Year,Month,Month_Name,Average_Close,Highest_Close,Lowest_Close,Total_Volume,Average_Daily_Change,Average_Volatility,Monthly_Return
2021,7,July,146.38399861653645,149.14999389648438,142.4499969482422,1369137000,0.14799601236979168,,0.0
2021,8,August,148.17772743918678,153.1199951171875,145.52000427246094,1461542800,0.3268182927911932,1.1986830440691691,4.092966677445253
2021,9,September,148.30619012741815,156.69000244140625,141.5,1797835100,-0.6957150413876488,1.245540222456424,-6.803663114322534
2021,10,October,145.56380862281435,152.57000732421875,139.13999938964844,1565079200,0.5923803420293898,1.3035141040671676,5.86572653834474
2021,11,November,154.25571623302642,165.3000030517578,147.8699951171875,1691029000,0.6519063313802084,1.1353070294806837,10.347129295214064
2021,12,December,173.55272743918678,180.3300018310547,161.83999633789062,2444766700,0.39727297696200287,1.6973516000174378,7.422869961241929
2022,1,January,169.86149978637695,182.00999450683594,159.22000122070312,2108446000,-0.3400001525878906,1.8181015289618792,-1.5712161006040226
2022,2,February,169.83000102796052,176.27999877929688,160.07000732421875,1627516300,0.19473909076891446,1.911658307572262,-5.52695029727488
2022,3,March,165.31043541949728,178.9600067138672,150.6199951171875,2180800100,0.5034796673318614,1.9609130802950172,5.747338768044963
2022,4,April,166.8209991455078,178.44000244140625,156.57000732421875,1687795600,-0.658001708984375,1.8961519536207276,-9.713078663640829
2022,5,May,148.43047659737724,166.02000427246094,137.35000610351562,2401040300,0.10619099934895833,2.531497614056967,-5.588327243690561
2022,6,June,139.79857308523995,151.2100067138672,130.05999755859375,1749099800,-0.14714122953869047,2.8536663005142238,-8.142969239043229
2022,7,July,149.670499420166,162.50999450683594,138.92999267578125,1447125400,1.2340003967285156,2.1758136005159456,18.863365312951387
2022,8,August,166.88521808126697,174.5500030517578,157.22000122070312,1510239600,-0.0713043212890625,1.6450548092843378,-3.2551802750262815
2022,9,September,153.0028555733817,163.42999267578125,138.1999969482422,2084722800,-0.2814301990327381,1.8615728678026369,-12.097700117532085
2022,10,October,145.01333327520462,155.74000549316406,138.33999633789062,1868139700,0.9076174781436012,2.3191228120743896,10.955137282179962
2022,11,November,145.84333147321428,151.2899932861328,134.8699951171875,1724847700,-0.21381123860677084,2.89834869431069,-3.462891408248747
2022,12,December,137.87666647774833,148.30999755859375,126.04000091552734,1675731200,-0.8590494791666666,2.5616056708340116,-12.227255456849361
2023,1,January,135.77899932861328,145.92999267578125,125.0199966430664,1443652500,0.6529991149902343,2.0024507522841373,11.05210607237126
2023,2,February,150.9684207313939,155.3300018310547,145.42999267578125,1307198900,0.742104781301398,1.6448648454550907,2.16231930220514
2023,3,March,154.96478205141813,164.89999389648438,145.30999755859375,1520266600,0.5095639436141305,1.5328039262107824,11.864859778760506
2023,4,April,165.04579001978823,169.67999267578125,160.10000610351562,969776400,0.608420121042352,1.266592114326782,2.8987258679327166
2023,5,May,172.62272782759234,177.3000030517578,165.7899932861328,1275364700,0.11227208917791193,1.3207169321767618,4.461343500104498
2023,6,June,184.28333318801154,193.97000122070312,177.82000732421875,1297383300,0.6042851039341518,1.0674967777071578,9.433004920001764
2023,7,July,192.4115005493164,196.4499969482422,188.0800018310547,996114000,-0.09499969482421874,0.9143963422741092,1.2785460184213004
2023,8,August,181.0839133884596,195.61000061035156,174.0,1322657800,-0.33130546238111414,1.2413608658149273,-4.367524542805268
2023,9,September,177.00250091552735,189.6999969482422,170.42999267578125,1337823000,-0.5839988708496093,1.5606055631213764,-8.867828198392369
2023,10,October,174.66863805597478,180.7100067138672,166.88999938964844,1172816900,0.6422743363813921,1.262617136586888,-0.25699575033695243
2023,11,November,185.87952314104353,191.4499969482422,173.97000122070312,1099651600,0.5990455264136905,1.114282514032181,11.231476369339344
2023,12,December,194.30850143432616,198.11000061035156,189.42999267578125,1063181200,0.0985015869140625,0.9506085745762551,1.3582531574126255
2024,1,January,187.72428385416666,195.17999267578125,181.17999267578125,1187490800,0.12714131673177084,1.1761561386441994,-4.222721100274962
2024,2,February,184.77550048828124,189.41000366210938,180.75,1161553500,0.10750045776367187,1.214722137676438,-1.9793893803127571
2024,3,March,172.69649963378907,179.66000366210938,169.0,1433151800,-0.09250030517578126,1.0967111414131925,-5.128633069134681
2024,4,April,169.6045448996804,176.5500030517578,165.0,1246144100,-0.056818181818181816,1.4698649356052549,-0.6706286010827567
2024,5,May,186.2859087857333,192.35000610351562,169.3000030517578,1336511300,-0.14590870250355115,1.690905543749198,12.869135168968704
2024,6,June,206.26315789473685,216.6699981689453,193.1199951171875,1717952100,0.26842298005756576,1.6944768067803082,9.555264040149547
2024,7,July,224.59863697398794,234.82000732421875,216.75,1153099800,0.0009113658558238636,1.828008691445038,5.4410820337788435
2024,8,August,221.63818151300603,229.7899932861328,207.22999572753906,1122667000,0.8827264959161932,1.5811743315664961,3.1159933861175215
2024,9,September,223.75800094604492,233.0,216.32000732421875,1232097700,0.0285003662109375,1.3073387205340046,1.7467248908296984
2024,10,October,230.0560873280401,236.47999572753906,221.69000244140625,930736000,-0.09999946925951086,1.419440968885234,-3.0429168832148634
2024,11,November,227.81049880981445,237.3300018310547,222.00999450683594,891588300,1.0879981994628907,1.1651235011157763,5.055109549741776
2024,12,December,249.32285635811942,259.0199890136719,239.58999633789062,977916100,0.9914267403738839,0.9353363195629197,5.515525317868941
2025,1,January,234.58699951171874,245.0,222.63999938964844,1200176400,-0.5159996032714844,1.3611029630013949,-5.758325323210367
2025,2,February,238.51368392141242,247.10000610351562,227.6300048828125,862272300,1.139473362972862,1.8417235357191002,2.4745747194451884
2025,3,March,222.7028576078869,239.07000732421875,209.67999267578125,1115239500,-0.33285595121837797,1.7541190668436972,-8.150013129978717
2025,4,April,201.1838110060919,223.88999938964844,172.4199981689453,1607318600,1.4180966331845237,3.6931022339663975,-4.335301252027135
2025,5,May,203.94714282807848,213.32000732421875,195.27000427246094,1195728200,-0.17095220656622023,3.599513417820274,-5.482350068933828
2025,6,June,200.65699996948243,205.1699981689453,195.63999938964844,1100409300,-0.244000244140625,1.6871125942385852,2.150854834031324
2025,7,July,211.28090945157138,214.39999389648438,207.57000732421875,1079935600,-0.057726079767400566,1.128934472185612,1.1697661337878307
2025,8,August,224.6471419561477,233.3300018310547,202.3800048828125,1218079100,0.36761910574776785,1.499160402820637,11.836966420226602
2025,9,September,242.48619006928942,256.8699951171875,226.7899932861328,1265536400,0.5823792957124256,1.7029122723243997,9.688121630178204
2025,10,October,258.29521643597144,271.3999938964844,245.27000427246094,1097142200,-0.21695543372112772,1.6003600897365238,6.181514327668869
2025,11,November,271.6563158537212,278.8500061035156,266.25,877578200,0.8410564221833882,1.2968019170943017,3.1364467727465817
2025,12,December,276.30636180530894,286.19000244140625,270.9700012207031,924528800,-0.30227522416548297,0.9469384207301178,-2.5067314322949175
2026,1,January,257.64949798583984,271.010009765625,246.6999969482422,1040017300,-0.5775016784667969,0.8678980978095459,-4.5538052792965855
2026,2,February,269.178421823602,278.1199951171875,255.77999877929688,988921000,-0.08368562397203948,1.6377979007872276,1.8113078042457653
2026,3,March,254.9063630537553,264.7200012207031,246.6300048828125,900035700,-0.36772918701171875,1.7138317408845096,-3.9329243991613416
2026,4,April,264.69476100376676,273.42999267578125,253.5,907538500,0.731903802780878,1.3785361243386869,6.919111581198156
2026,5,May,297.54149932861327,312.510009765625,276.8299865722656,981286400,1.7750015258789062,1.4731508721110886,15.002760471487854
2026,6,June,296.41952369326634,315.20001220703125,275.1499938964844,1401170100,-1.4714268275669642,1.471035506630588,-7.274246101591086
2026,7,July,310.1800057547433,316.2200012207031,294.3800048828125,345154200,3.4157191685267856,2.0885171333089,8.971531409609291
